id_dodf,tipo_rel,id_rel,anotador_rel,tipo_ent,id_ent,anotador_ent,offset,length,texto,id_ato
12_22.11.2018,REL_AVISO_LICITACAO,R52,anotador_6043174,modalidade_licitacao,495,anotador_6043174,433852,17,PREGAO ELETRONICO,12_22.11.2018-R52
12_22.11.2018,REL_AVISO_LICITACAO,R52,anotador_6043174,sistema_compras,17,anotador_6043174,434552,21,www.compras.df.gov.br,12_22.11.2018-R52
12_22.11.2018,REL_AVISO_LICITACAO,R52,anotador_6043174,nome_responsavel,14,anotador_6043174,434654,25,GERARDA DA SILVA CARVALHO,12_22.11.2018-R52
12_22.11.2018,REL_AVISO_LICITACAO,R52,anotador_6043174,numero_licitacao,11,anotador_6043174,433873,8,129/2018,12_22.11.2018-R52
12_22.11.2018,REL_AVISO_LICITACAO,R52,anotador_6043174,valor_estimado_contratacao,15,anotador_6043174,434268,10,"201.025,16",12_22.11.2018-R52
12_22.11.2018,REL_AVISO_LICITACAO,R52,anotador_6043174,data_abertura_licitacao,16,anotador_6043174,434435,10,21/11/2018,12_22.11.2018-R52
12_22.11.2018,REL_AVISO_LICITACAO,R52,anotador_6043174,processo_gdf,491,anotador_6043174,434476,22,00410-00010748/2018-35,12_22.11.2018-R52
12_22.11.2018,REL_AVISO_LICITACAO,R52,anotador_6043174,tipo_objeto,541,anotador_6043174,433926,9,aquisicao,12_22.11.2018-R52
12_22.11.2018,REL_AVISO_LICITACAO,R52,anotador_6043174,objeto_licitacao,543,anotador_6043174,433890,351,"Registro de Precos visando eventual aquisicao de material de consumo - generos
alimenticios, contemplando Cha, Leite e Adocante, a fim de atender aos diversos orgaos integrantes
da centralizacao de compras do Complexo Administrativo do Distrito Federal (DF), conforme
condicoes e especificacoes constantes no Termo de Referencia - Anexo I deste Edital",12_22.11.2018-R52
12_22.11.2018,REL_AVISO_LICITACAO,R52,anotador_6043174,AVISO_LICITACAO,544,anotador_6043174,433852,837,"PREGAO ELETRONICO No 129/2018
OBJETO: Registro de Precos visando eventual aquisicao de material de consumo - generos
alimenticios, contemplando Cha, Leite e Adocante, a fim de atender aos diversos orgaos integrantes
da centralizacao de compras do Complexo Administrativo do Distrito Federal (DF), conforme
condicoes e especificacoes constantes no Termo de Referencia - Anexo I deste Edital. Valor total
estimado: R$ 201.025,16. Tipo de licitacao: Menor preco. Elemento de despesa: 33.90.30. Prazo de
vigencia da Ata de Registro de Precos: 12 (doze) meses. Abertura das propostas dia 21/11/2018, as
9h30min. Processo (SEI) n 00410-00010748/2018-35. O edital podera ser retirado no endereco
eletronico www.compras.df.gov.br. Informacoes pelo telefone: (61) 3313.8497.
Brasilia/DF, 1o de novembro de 2018
GERARDA DA SILVA CARVALHO
Pregoeira",12_22.11.2018-R52
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,modalidade_licitacao,19,anotador_6043174,435510,17,PREGAO ELETRONICO,12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,nome_responsavel,27,anotador_6043174,436434,25,GERARDA DA SILVA CARVALHO,12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,numero_licitacao,20,anotador_6043174,435531,8,141/2018,12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,codigo_licitacao_sistema_compras,21,anotador_6043174,435545,6,925041,12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,valor_estimado_contratacao,24,anotador_6043174,436081,13,"99.754.200,00",12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,processo_gdf,497,anotador_6043174,436171,22,00410-00012776/2018-97,12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,data_abertura_licitacao,25,anotador_6043174,436235,10,10/12/2018,12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,sistema_compras,26,anotador_6043174,436320,32,www.comprasgovernamentais.gov.br,12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,tipo_objeto,546,anotador_6043174,435586,11,contratacao,12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,objeto_licitacao,548,anotador_6043174,435560,425,"Registro de Precos para a contratacao de empresa para a prestacao de servicos de alimentacao
e nutricao, para gestao de Restaurante Popular, a partir do preparo, fornecimento e distribuicao de
refeicoes para atender as demandas da Secretaria de Estado do Trabalho, Desenvolvimento Social,
Mulheres, Igualdade Racial e Direitos Humanos, conforme condicoes e especificacoes constantes do
Termo de Referencia - Anexo I do Edital",12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R54,anotador_6043174,AVISO_LICITACAO,550,anotador_6043174,435489,980,"AVISOS DE LICITACOES
PREGAO ELETRONICO No 141/2018-UASG 925041
Objeto: Registro de Precos para a contratacao de empresa para a prestacao de servicos de alimentacao
e nutricao, para gestao de Restaurante Popular, a partir do preparo, fornecimento e distribuicao de
refeicoes para atender as demandas da Secretaria de Estado do Trabalho, Desenvolvimento Social,
Mulheres, Igualdade Racial e Direitos Humanos, conforme condicoes e especificacoes constantes do
Termo de Referencia - Anexo I do Edital. Tipo de Licitacao: Menor Preco. Elemento de Despesa:
33.90.39. Valor total anual estimado: R$ 99.754.200,00. Validade da Ata de Registro de Precos: 12
(doze) meses. Processo (SEI) n.o 00410-00012776/2018-97-SCG/SEPLAG. Abertura das Propostas:
Dia  10/12/2018  as  09h30min.  O  edital podera  ser  retirado  no  endereco  eletronico
www.comprasgovernamentais.gov.br. Informacoes pelo telefone: (61) 3313.8497.
Brasilia/DF, 21 de novembro de 2018.
GERARDA DA SILVA CARVALHO
Pregoeira",12_22.11.2018-R54
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,modalidade_licitacao,30,anotador_6043174,436468,17,PREGAO ELETRONICO,12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,codigo_licitacao_sistema_compras,32,anotador_6043174,436503,6,925041,12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,codigo_licitacao_sistema_compras,40,anotador_6043174,437795,6,925041,12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,data_abertura_licitacao,38,anotador_6043174,437674,10,10/12/2018,12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,sistema_compras,39,anotador_6043174,437755,32,www.comprasgovernamentais.gov.br,12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,numero_licitacao,31,anotador_6043174,436489,8,142/2018,12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,valor_estimado_contratacao,36,anotador_6043174,437521,13,"11.703.718,00",12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,processo_gdf,498,anotador_6043174,437610,22,00410-00004508/2018-00,12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,nome_responsavel,33,anotador_6043174,438447,21,JANILDO NUNES DA MOTA,12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,tipo_objeto,547,anotador_6043174,436544,11,contratacao,12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,objeto_licitacao,549,anotador_6043174,436518,896,"Registro de Precos para a contratacao de empresa especializada para a prestacao de servicos
de manutencao predial, com fornecimento de pecas, equipamentos, materiais e mao de obra, sob
demanda, na forma estabelecida nas planilhas nao desoneradas do catalogo de composicoes e insumos
diversos descritos no Sistema Nacional de Pesquisa de Custos e indices da Construcao Civil -
SINAPI, referente a unidade da federacao do Distrito Federal (Brasilia/DF), para atender as
necessidades da Secretaria de Estado de Politicas Para Criancas, Adolescentes e Juventude
(SECRIANCA), Secretaria de Estado de Planejamento, Orcamento e Gestao (SEPLAG) e demais
orgaos integrantes do Complexo Administrativo do Distrito Federal, conforme condicoes e
especificacoes constantes do Termo de Referencia - Anexo I do Edital, conforme condicoes e
especificacoes constantes do Termo de Referencia - Anexo I deste Edital",12_22.11.2018-R55
12_22.11.2018,REL_AVISO_LICITACAO,R55,anotador_6043174,AVISO_LICITACAO,551,anotador_6043174,436468,2010,"PREGAO ELETRONICO No 142/2018-UASG 925041
Objeto: Registro de Precos para a contratacao de empresa especializada para a prestacao de servicos
de manutencao predial, com fornecimento de pecas, equipamentos, materiais e mao de obra, sob
demanda, na forma estabelecida nas planilhas nao desoneradas do catalogo de composicoes e insumos
diversos descritos no Sistema Nacional de Pesquisa de Custos e indices da Construcao Civil -
SINAPI, referente a unidade da federacao do Distrito Federal (Brasilia/DF), para atender as
necessidades da Secretaria de Estado de Politicas Para Criancas, Adolescentes e Juventude
(SECRIANCA), Secretaria de Estado de Planejamento, Orcamento e Gestao (SEPLAG) e demais
orgaos integrantes do Complexo Administrativo do Distrito Federal, conforme condicoes e
especificacoes constantes do Termo de Referencia - Anexo I do Edital, conforme condicoes e
especificacoes constantes do Termo de Referencia - Anexo I deste Edital. Tipo de Licitacao: Menor
Preco. Elemento de Despesa: 33.90.39 e 33.90.30. Valor total anual estimado: R$ 11.703.718,00.
Validade da Ata de Registro de Precos: 12 (doze) meses. Processo (SEI) no 00410-00004508/2018-00-
SCG/SEPLAG. Abertura das Propostas: Dia 10/12/2018 as 09h30min. O novo edital podera ser
retirado no endereco eletronico www.comprasgovernamentais.gov.br. UASG: 925041. Informa-se que
este processo refere-se ao Pregao Eletronico SRP no 071/2018 que se encontrava suspenso pela
Decisao no 3113/2018-TCDF, de 26/06/2018, Processo/TCDF 19317/2018-e. A posteriori, foi expedida
a Decisao no 5107/2018-TCDF, de 23/10/2018, que autorizou a continuidade do procedimento
licitatorio, no entanto, o sistema de compras governamentais nao permitiu alteracao e inclusao de
novos itens constantes do Pregao no 071/2018, sendo necessario designar novo numero de Pregao para
o referido processo. Demais informacoes pelo site www.comprasgovernamentais.gov.br ou pelo
telefone (61) 3313.8497.
Brasilia/DF, 21 de novembro de 2018.
JANILDO NUNES DA MOTA
Pregoeiro",12_22.11.2018-R55
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R8,anotador_430946,AVISO_SUSPENSAO_LICITACAO,312,anotador_430946,484129,274,"AVISO DE SUSPENSAO
PREGAO ELETRONICO POR SRP No 459/2018 - UASG 926119
A Pregoeira da Central de Compras/SUAG, da Secretaria de Estado de Saude do Distrito Federal,
comunica a suspensao da licitacao supracitada, por acatar a impugnacao apresentada.
LARISSA ALVIM DE OLIVEIRA",12_22.11.2018-R8
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R8,anotador_430946,modalidade_licitacao,311,anotador_430946,484148,17,PREGAO ELETRONICO,12_22.11.2018-R8
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R8,anotador_430946,numero_licitacao,308,anotador_430946,484177,8,459/2018,12_22.11.2018-R8
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R8,anotador_430946,orgao_licitante,310,anotador_430946,484243,49,Secretaria de Estado de Saude do Distrito Federal,12_22.11.2018-R8
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R8,anotador_430946,nome_responsavel,309,anotador_430946,484378,25,LARISSA ALVIM DE OLIVEIRA,12_22.11.2018-R8
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,modalidade_licitacao,58,anotador_6043174,484420,17,PREGAO ELETRONICO,12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,numero_licitacao,59,anotador_6043174,484449,8,488/2018,12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,codigo_licitacao_sistema_compras,60,anotador_6043174,484465,6,926119,12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,objeto_licitacao,64,anotador_6043174,484480,309,"Aquisicao de material de ORTESES, PROTESES E MATERIAIS ESPECIAIS (OPME) - MATRIZ
DE REGENERACAO DERMICA DE INTEGRACAO LENTA E MATRIZ DE REGENERACAO
DERMICA DE INTEGRACAO RAPIDA, contemplados na Tabela SUS DE OPME do Ministerio da
Saude, conforme especificacoes e quantitativos constantes no Anexo I do Edital.",12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,tipo_objeto,61,anotador_6043174,484480,9,Aquisicao,12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,orgao_licitante,62,anotador_6043174,484696,19,"Ministerio da
Saude",12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,processo_gdf,63,anotador_6043174,484807,22,00060.00257811/2018-02,12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,valor_estimado_contratacao,65,anotador_6043174,484908,10,"432.163,20",12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,sistema_compras,67,anotador_6043174,485043,21,www.comprasnet.gov.br,12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,nome_responsavel,68,anotador_6043174,485319,35,PRISCILLA MOREIRA FALCAO FIGUEIREDO,12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,data_abertura_licitacao,501,anotador_6043174,484956,10,22/11/2018,12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R25,anotador_6043174,AVISO_LICITACAO,504,anotador_6043174,484402,962,"AVISO DE ABERTURA
PREGAO ELETRONICO POR SRP No 488/2018 - UASG 926119
Objeto: Aquisicao de material de ORTESES, PROTESES E MATERIAIS ESPECIAIS (OPME) - MATRIZ
DE REGENERACAO DERMICA DE INTEGRACAO LENTA E MATRIZ DE REGENERACAO
DERMICA DE INTEGRACAO RAPIDA, contemplados na Tabela SUS DE OPME do Ministerio da
Saude, conforme especificacoes e quantitativos constantes no Anexo I do Edital. Processo SEI no:
00060.00257811/2018-02. Total de 04 itens (ampla concorrencia e cotas as ME/EPP). Valor Estimado: R$
432.163,20. Cadastro das Propostas: a partir de 22/11/2018. Abertura das Propostas: 05/12/2018, as 09:30,
horario de Brasilia, no site www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site
ou com onus no endereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco
""A"", 1 andar, sala 83/124, Central de Compras da SUAG/SES, CEP 70770-200, Br a s i l i a / D F.
PRISCILLA MOREIRA FALCAO FIGUEIREDO
Pregoeira",12_22.11.2018-R25
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,modalidade_licitacao,69,anotador_6043174,485363,17,PREGAO ELETRONICO,12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,codigo_licitacao_sistema_compras,72,anotador_6043174,485408,6,926119,12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,tipo_objeto,86,anotador_6043174,485423,9,Aquisicao,12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,sistema_compras,80,anotador_6043174,485897,21,www.comprasnet.gov.br,12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,numero_licitacao,70,anotador_6043174,485392,8,489/2018,12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,objeto_licitacao,88,anotador_6043174,485423,230,"Aquisicao de material de consumo dreno em t n.14 1 e outros em sistema de registro de precos
para atender as necessidades da Secretaria de Estado de Saude/DF, conforme especificacoes e quantitativos
constantes no Anexo I do Edital",12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,processo_gdf,76,anotador_6043174,485671,22,00060.00260541/2017-28,12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,valor_estimado_contratacao,83,anotador_6043174,485751,11,"51.247,52",12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,nome_responsavel,74,anotador_6043174,486160,25,CERIZE HELENA SOUZA SALES,12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,data_abertura_licitacao,502,anotador_6043174,485809,10,22/11/2018,12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R26,anotador_6043174,AVISO_LICITACAO,505,anotador_6043174,485363,832,"PREGAO ELETRONICO POR SRP No 489/2018 - UASG 926119
Objeto: Aquisicao de material de consumo dreno em t n.14 1 e outros em sistema de registro de precos
para atender as necessidades da Secretaria de Estado de Saude/DF, conforme especificacoes e quantitativos
constantes no Anexo I do Edital. Processo SEI no 00060.00260541/2017-28. Total de 7 itens (exclusivo
ME/EPP). Valor Estimado: R$ 51.247,5228. Edital e Cadastro das Propostas: a partir de 22/11/2018.
Abertura das Propostas: 05/12/2018 as 9 horas, horario de Brasilia, no site www.comprasnet.gov.br. O
Edital encontra-se disponibilizado sem onus, no site ou com onus no endereco: SAIN - Setor de Areas
Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar, sala 83, Central de Compras da
SUAG/SES, CEP 70770-200, Brasilia/DF.
CERIZE HELENA SOUZA SALES
Pregoeira",12_22.11.2018-R26
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,codigo_licitacao_sistema_compras,73,anotador_6043174,486239,6,926119,12_22.11.2018-R27
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,tipo_objeto,85,anotador_6043174,486254,9,Aquisicao,12_22.11.2018-R27
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,sistema_compras,81,anotador_6043174,486844,21,www.comprasnet.gov.br,12_22.11.2018-R27
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,nome_responsavel,75,anotador_6043174,487107,25,CERIZE HELENA SOUZA SALES,12_22.11.2018-R27
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,numero_licitacao,71,anotador_6043174,486223,8,490/2018,12_22.11.2018-R27
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,objeto_licitacao,87,anotador_6043174,486254,329,"Aquisicao em Sistema de Registro de Precos de material de ORTESES, PROTESES E
MATERIAIS ESPECIAIS (Ambulatoriais) - cadeira de rodas para banho em concha e paraplegico adulto,
contemplados na Tabela SUS/MS, para atender as necessidades da Secretaria de Estado de Saude/DF,
conforme descritivo e quantitativo do Anexo I do edital.",12_22.11.2018-R27
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,processo_gdf,77,anotador_6043174,486600,22,00060.00096786/2018-76,12_22.11.2018-R27
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,valor_estimado_contratacao,82,anotador_6043174,486696,12,"546.756,70",12_22.11.2018-R27
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,data_abertura_licitacao,503,anotador_6043174,486755,10,22/11/2018,12_22.11.2018-R27
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,modalidade_licitacao,506,anotador_6043174,486194,17,PREGAO ELETRONICO,12_22.11.2018-R27
12_22.11.2018,REL_AVISO_LICITACAO,R27,anotador_6043174,AVISO_LICITACAO,507,anotador_6043174,486194,948,"PREGAO ELETRONICO POR SRP No 490/2018 - UASG 926119
Objeto: Aquisicao em Sistema de Registro de Precos de material de ORTESES, PROTESES E
MATERIAIS ESPECIAIS (Ambulatoriais) - cadeira de rodas para banho em concha e paraplegico adulto,
contemplados na Tabela SUS/MS, para atender as necessidades da Secretaria de Estado de Saude/DF,
conforme descritivo e quantitativo do Anexo I do edital. Processo SEI no 00060.00096786/2018-76. Total
de 4 itens (ampla concorrencia e cota ME/EPP). Valor Estimado: R$ 546.756,7000. Edital e Cadastro das
Propostas: a partir de 22/11/2018. Abertura das Propostas: 05/12/2018 as 10 horas, horario de Brasilia, no
site www.comprasnet.gov.br. O Edital encontra-se disponibilizado sem onus, no site ou com onus no
endereco: SAIN - Setor de Areas Isoladas Norte - Parque Rural s/no - Asa Norte - Bloco ""A"", 1 andar,
sala 83, Central de Compras da SUAG/SES, CEP 70770-200, Brasilia/DF.
CERIZE HELENA SOUZA SALES
Pregoeira",12_22.11.2018-R27
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,modalidade_licitacao,313,anotador_430946,530038,12,CONCORRENCIA,12_22.11.2018-R9
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,numero_licitacao,314,anotador_430946,530054,7,02/2018,12_22.11.2018-R9
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,orgao_licitante,444,anotador_430946,530064,8,METRO-DF,12_22.11.2018-R9
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,objeto_licitacao,317,anotador_430946,530206,107,"contratacao de empresa para execucao de Obras Civis para
Expansao da Linha 1 - Trecho Samambaia do METRO-DF",12_22.11.2018-R9
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,processo_gdf,315,anotador_430946,530337,23,"00097-00004868/2018-
01",12_22.11.2018-R9
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,decisao_tcdf,319,anotador_430946,530463,9,5531/2018,12_22.11.2018-R9
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,nome_responsavel,316,anotador_430946,530481,25,ANDERSON LUIZ SENNA COSTA,12_22.11.2018-R9
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,modalidade_licitacao,468,anotador_430946,530165,12,Concorrencia,12_22.11.2018-R9
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,numero_licitacao,469,anotador_430946,530181,7,02/2018,12_22.11.2018-R9
12_22.11.2018,REL_SUSPENSAO_LICITACAO,R9,anotador_430946,AVISO_SUSPENSAO_LICITACAO,470,anotador_430946,530019,510,"AVISO DE SUSPENSAO
CONCORRENCIA No 02/2018
O METRO-DF, por meio do Presidente da Comissao Especial de Licitacao, comunica a suspensao sine die
da Concorrencia no 02/2018, cujo objeto e a contratacao de empresa para execucao de Obras Civis para
Expansao da Linha 1 - Trecho Samambaia do METRO-DF, conforme processo n.o 00097-00004868/2018-
01, cuja data da sessao estava prevista para o dia 21/11/2018. A suspensao se da por forca da Decisao no
5531/2018 - TCDF.
ANDERSON LUIZ SENNA COSTA
Presidente da Comissao",12_22.11.2018-R9
12_22.11.2018,REL_AVISO_LICITACAO,R28,anotador_6043174,modalidade_licitacao,99,anotador_6043174,531778,17,PREGAO ELETRONICO,12_22.11.2018-R28
12_22.11.2018,REL_AVISO_LICITACAO,R28,anotador_6043174,tipo_objeto,101,anotador_6043174,531807,9,Aquisicao,12_22.11.2018-R28
12_22.11.2018,REL_AVISO_LICITACAO,R28,anotador_6043174,AVISO_LICITACAO,157,anotador_6043174,531759,422,"AVISO DE LICITACAO
PREGAO ELETRONICO No 95/2018
Aquisicao de material de Consumo - Bobina de Papel, tudo conforme especificacoes do anexo I do Edital,
Processo SEI no 113.00014123/2018-05. Data e horario para recebimento das propostas: ate 09h00min do
dia 06 de dezembro de 2018, com valor estimado de R$ 5.881,80. Demais informacoes conforme
edital.
Brasilia/DF, 21 de novembro de 2018.
CELIA MARIA SIQUEIRA LEAL
Diretora",12_22.11.2018-R28
12_22.11.2018,REL_AVISO_LICITACAO,R28,anotador_6043174,numero_licitacao,100,anotador_6043174,531799,7,95/2018,12_22.11.2018-R28
12_22.11.2018,REL_AVISO_LICITACAO,R28,anotador_6043174,objeto_licitacao,106,anotador_6043174,531807,139,"Aquisicao de material de Consumo - Bobina de Papel, tudo conforme especificacoes do anexo I do Edital,
Processo SEI no 113.00014123/2018-05",12_22.11.2018-R28
12_22.11.2018,REL_AVISO_LICITACAO,R28,anotador_6043174,processo_gdf,105,anotador_6043174,531926,20,113.00014123/2018-05,12_22.11.2018-R28
12_22.11.2018,REL_AVISO_LICITACAO,R28,anotador_6043174,data_abertura_licitacao,103,anotador_6043174,532015,22,06 de dezembro de 2018,12_22.11.2018-R28
12_22.11.2018,REL_AVISO_LICITACAO,R28,anotador_6043174,valor_estimado_contratacao,104,anotador_6043174,532064,8,"5.881,80",12_22.11.2018-R28
