id,is_correct,question,ground_truth_answer,generated_answer,expected_value,generated_value,source_documents_pages
brasilia_saa_qd_01_lt_225_e_235_00_v1,False,"Quanto custa um imóvel situado nas quadras SAA QD 01, lotes 225 e 235, em Brasília?","R$ 1.721.400,00",Informação não disponível no contexto.,1721400.00,,"[40, 65, 47]"
brasilia_saa_qd_01_lt_225_e_235_00_v2,False,"Qual é o preço de um terreno ou propriedade nas quadras SAA QD 01, lotes 225 e 235, Brasília?","R$ 1.721.400,00",Informação não disponível no contexto.,1721400.00,,"[74, 65, 62]"
aquisicao_de_transformadores_00_v0,False,Qual foi o custo total para adquirir os transformadores necessários?,"R$ 483.160,24",Informação não disponível no contexto.,483160.24,,"[7, 99, 57]"
aquisicao_de_transformadores_00_v1,False,Quanto foi gasto na compra de transformadores recentemente?,"R$ 483.160,24",Informação não disponível no contexto.,483160.24,,"[20, 73, 35]"
aquisicao_de_transformadores_00_v2,False,Qual o valor exato da aquisição dos transformadores?,"R$ 483.160,24",Informação não disponível no contexto.,483160.24,,"[73, 17, 76]"
projeto_debandando_nas_feiras_00_v0,False,"Qual é o orçamento destinado ao projeto ""Debandando nas Feiras""?","R$ 50.000,00",Informação não disponível no contexto.,50000.00,,"[98, 99, 48]"
projeto_debandando_nas_feiras_00_v1,False,"Quanto foi alocado para o projeto ""Debandando nas Feiras""?","R$ 50.000,00",Informação não disponível no contexto.,50000.00,,"[98, 55, 58]"
projeto_debandando_nas_feiras_00_v2,False,"Qual o valor total do investimento no projeto ""Debandando nas Feiras""?","R$ 50.000,00","RS 513,554,60",50000.00,,"[51, 93, 99]"
projeto_52o_festival_de_brasilia_do_cinema_00_v0,False,"Qual é o orçamento destinado ao projeto ""52o Festival de Brasilia do Cinema""?","R$ 100.000,00",Informação não disponível no contexto.,100000.00,,"[65, 47, 48]"
projeto_52o_festival_de_brasilia_do_cinema_00_v1,False,De quanto é o investimento total para a realização do 52o Festival de Brasilia do Cinema?,"R$ 100.000,00",Informação não disponível no contexto.,100000.00,,"[65, 47, 92]"
projeto_52o_festival_de_brasilia_do_cinema_00_v2,False,"Qual o valor aprovado para o financiamento do projeto ""52o Festival de Brasilia do Cinema""?","R$ 100.000,00",Informação não disponível no contexto.,100000.00,,"[65, 23, 47]"
projeto_4o_desafio_nacional_de_salvamento_veicular_e_trauma_00_v0,False,"Qual é o orçamento destinado ao projeto ""4o Desafio nacional de Salvamento Veicular e Trauma""?","R$ 15.000,00",Informação não disponível no contexto.,15000.00,,"[99, 55, 58]"
projeto_4o_desafio_nacional_de_salvamento_veicular_e_trauma_00_v1,False,Quanto foi alocado para o projeto de salvamento veicular que está em sua quarta edição?,"R$ 15.000,00",Informação não disponível no contexto.,15000.00,,"[26, 99, 33]"
projeto_4o_desafio_nacional_de_salvamento_veicular_e_trauma_00_v2,False,Qual o valor do investimento no 4o Desafio nacional de Salvamento Veicular e Trauma?,"R$ 15.000,00",Informação não disponível no contexto.,15000.00,,"[23, 17, 51]"
aquisicao_de_2_dois_aparelhos_de_ultrassonografia_00_v0,False,Qual é o custo total para adquirir dois aparelhos de ultrassonografia?,"R$ 460.000,00","R$ 1.990.000,00",460000.00,1990000.00,"[7, 77, 73]"
aquisicao_de_2_dois_aparelhos_de_ultrassonografia_00_v1,False,Quanto custa comprar dois aparelhos que realizam ultrassonografia?,"R$ 460.000,00",Informação não disponível no contexto.,460000.00,,"[48, 20, 57]"
aquisicao_de_2_dois_aparelhos_de_ultrassonografia_00_v2,False,Qual o valor necessário para a compra de dois equipamentos de ultrassonografia?,"R$ 460.000,00","RS 513,554,60",460000.00,,"[33, 93, 51]"
prestacao_de_servico_publico_de_energia_eletrica_00_v0,False,Qual é o valor total da conta de energia elétrica que a prefeitura precisa pagar mensalmente?,"R$ 200.000,00",Informação não disponível no contexto.,200000.00,,"[51, 93, 47]"
prestacao_de_servico_publico_de_energia_eletrica_00_v1,False,Quanto a empresa de energia elétrica cobra pelo serviço prestado à população?,"R$ 200.000,00",Informação não disponível no contexto.,200000.00,,"[36, 125, 107]"
prestacao_de_servico_publico_de_energia_eletrica_00_v2,False,Qual é o custo mensal do serviço público de fornecimento de energia elétrica?,"R$ 200.000,00",Informação não disponível no contexto.,200000.00,,"[96, 42, 15]"
prestacao_de_servico_de_transporte_de_servidores_para_as_uni_00_v0,False,Qual é o custo total do serviço de transporte de servidores para as unidades administrativas do DER/DF?,"R$ 1.047.300,48",Informação não disponível no contexto.,1047300.48,,"[55, 96, 42]"
prestacao_de_servico_de_transporte_de_servidores_para_as_uni_00_v1,False,Quanto custa o serviço de transporte de servidores para as unidades administrativas do DER/DF?,"R$ 1.047.300,48",Informação não disponível no contexto.,1047300.48,,"[96, 55, 73]"
prestacao_de_servico_de_transporte_de_servidores_para_as_uni_00_v2,False,Qual é o valor total da prestação de serviço de transporte de servidores para as unidades administrativas do DER/DF?,"R$ 1.047.300,48","R$ 513.554,60",1047300.48,513554.60,"[51, 37, 55]"
aquisicao_de_isolador_de_ancoragem_00_v0,False,Qual é o custo total para adquirir um isolador de ancoragem?,"R$ 75.950,00",Informação não disponível no contexto.,75950.00,,"[7, 77, 47]"
aquisicao_de_isolador_de_ancoragem_00_v1,False,Quanto custa um isolador de ancoragem para ser adquirido?,"R$ 75.950,00",Informação não disponível no contexto.,75950.00,,"[14, 77, 38]"
aquisicao_de_isolador_de_ancoragem_00_v2,False,Qual é o preço de aquisição de um isolador de ancoragem?,"R$ 75.950,00",Informação não disponível no contexto.,75950.00,,"[76, 75, 47]"
aquisicao_de_grampos_de_ancoragem_00_v0,False,Qual é o custo total para adquirir grampos de ancoragem?,"R$ 72.240,00",Informação não disponível no contexto.,72240.00,,"[7, 77, 52]"
aquisicao_de_grampos_de_ancoragem_00_v1,False,Quanto custa a compra de grampos de ancoragem?,"R$ 72.240,00",Informação não disponível no contexto.,72240.00,,"[72, 77, 7]"
aquisicao_de_grampos_de_ancoragem_00_v2,False,Qual o valor necessário para a aquisição de grampos de ancoragem?,"R$ 72.240,00",Informação não disponível no contexto.,72240.00,,"[33, 36, 73]"
aquisicao_de_elos_fusiveis_00_v0,False,Qual é o custo total para adquirir os elos fusíveis necessários?,"R$ 23.833,75",Informação não disponível no contexto.,23833.75,,"[33, 7, 34]"
aquisicao_de_elos_fusiveis_00_v1,False,Quanto é necessário investir para obter os elos fusíveis?,"R$ 23.833,75",Informação não disponível no contexto.,23833.75,,"[33, 99, 57]"
aquisicao_de_elos_fusiveis_00_v2,False,Qual é o valor exato para a compra dos elos fusíveis?,"R$ 23.833,75","RS 513.554,60",23833.75,,"[93, 73, 51]"
aquisicao_de_alcas_preformadas_00_v0,False,Qual é o custo total das alças pré-formadas adquiridas?,"R$ 18.285,00",Informação não disponível no contexto.,18285.00,,"[7, 34, 52]"
aquisicao_de_alcas_preformadas_00_v1,False,Quanto foi gasto na compra de alças pré-formadas?,"R$ 18.285,00",Informação não disponível no contexto.,18285.00,,"[77, 77, 35]"
aquisicao_de_alcas_preformadas_00_v2,False,Qual o valor da aquisição das alças pré-formadas?,"R$ 18.285,00",Informação não disponível no contexto.,18285.00,,"[76, 73, 37]"
aquisicao_de_para_raios_00_v0,False,Qual é o custo total para adquirir um sistema de proteção contra descargas elétricas?,"R$ 199.050,00","ERRO NA EXECUÇÃO: POST predict: Post ""http://127.0.0.1:42919/completion"": EOF (status code: -1)",199050.00,,"[76, 73, 37]"
aquisicao_de_para_raios_00_v1,False,Quanto custa a implementação de um dispositivo de proteção contra raios em uma estrutura?,"R$ 199.050,00",Informação não disponível no contexto.,199050.00,,"[40, 74, 99]"
aquisicao_de_para_raios_00_v2,False,Qual é o valor necessário para obter um equipamento de segurança contra tempestades elétricas?,"R$ 199.050,00",Informação não disponível no contexto.,199050.00,,"[23, 33, 73]"
aquisicao_de_conector_terminal_compressao_00_v0,False,Qual é o custo total de um conector terminal de compressão?,"R$ 34.494,25",Informação não disponível no contexto.,34494.25,,"[16, 91, 64]"
aquisicao_de_conector_terminal_compressao_00_v1,False,Quanto custa um conector terminal de compressão adquirido recentemente?,"R$ 34.494,25",Informação não disponível no contexto.,34494.25,,"[91, 28, 2]"
aquisicao_de_conector_terminal_compressao_00_v2,False,Qual o valor de aquisição de um conector terminal por compressão?,"R$ 34.494,25","R$ 81.850,00",34494.25,81850.00,"[58, 76, 32]"
aquisicao_de_cabos_de_aluminio_00_v0,False,Qual é o custo total de aquisição dos cabos de alumínio para o projeto?,"R$ 83.040,00",Informação não disponível no contexto.,83040.00,,"[34, 36, 16]"
aquisicao_de_cabos_de_aluminio_00_v1,False,Quanto foi gasto na compra de cabos de alumínio?,"R$ 83.040,00",Informação não disponível no contexto.,83040.00,,"[38, 59, 87]"
aquisicao_de_cabos_de_aluminio_00_v2,False,Qual é o valor total da fatura referente à aquisição de cabos de alumínio?,"R$ 83.040,00",Não há informação específica sobre a aquisição de cabos de alumínio no contexto fornecido.  Informação não disponível no contexto.,83040.00,,"[51, 93, 73]"
aquisicao_de_emendas_polimericas_00_v0,False,Qual é o valor total das emendas poliméricas adquiridas recentemente?,"R$ 87.154,00",Informação não disponível no contexto.,87154.00,,"[51, 76, 16]"
aquisicao_de_emendas_polimericas_00_v1,False,Quanto foi gasto na compra de emendas poliméricas para o projeto?,"R$ 87.154,00",Informação não disponível no contexto.,87154.00,,"[99, 55, 58]"
aquisicao_de_emendas_polimericas_00_v2,False,Qual o custo das emendas poliméricas utilizadas no último trimestre?,"R$ 87.154,00",Informação não disponível no contexto.,87154.00,,"[7, 80, 41]"
aquisicao_de_conectores_tipo_parafuso_00_v0,False,Qual é o custo total de aquisição dos conectores tipo parafuso?,"R$ 21.666,40",Informação não disponível no contexto.,21666.40,,"[57, 10, 20]"
aquisicao_de_conectores_tipo_parafuso_00_v1,False,Quanto custa a compra de conectores tipo parafuso?,"R$ 21.666,40",Informação não disponível no contexto.,21666.40,,"[20, 47, 39]"
aquisicao_de_conectores_tipo_parafuso_00_v2,False,Qual é o valor necessário para adquirir conectores do tipo parafuso?,"R$ 21.666,40",Informação não disponível no contexto.,21666.40,,"[23, 33, 73]"
o_contrato_tem_por_objeto_a_aquisição_de_material_de_consumo_00_v0,False,Qual é o valor total do contrato para a aquisição de materiais e prestação de serviços?,"R$ 18.144,04","RS 513,554,60",18144.04,,"[96, 51, 7]"
o_contrato_tem_por_objeto_a_aquisição_de_material_de_consumo_00_v1,False,Quanto custa o conjunto de serviços e materiais previstos no contrato?,"R$ 18.144,04",Informação não disponível no contexto.,18144.04,,"[115, 96, 39]"
o_contrato_tem_por_objeto_a_aquisição_de_material_de_consumo_00_v2,False,Qual o montante financeiro associado ao contrato de aquisição de materiais e serviços de chaveiros?,"R$ 18.144,04",Informação não disponível no contexto.,18144.04,,"[96, 55, 7]"
prestação_de_serviços_especializados_em_urologia_00_v0,False,Qual é o valor mínimo cobrado por uma consulta de urologia especializada?,"R$ 1,00",Informação não disponível no contexto.,1.00,,"[17, 73, 47]"
prestação_de_serviços_especializados_em_urologia_00_v1,False,"Se um paciente precisar de um serviço de urologia de alta especialização, quanto ele pode esperar pagar?","R$ 1,00",Informação não disponível no contexto.,1.00,,"[71, 42, 15]"
prestação_de_serviços_especializados_em_urologia_00_v2,False,Qual é o preço mais baixo que alguém pode pagar por um serviço de urologia de alta complexidade?,"R$ 1,00",Informação não disponível no contexto.,1.00,,"[55, 47, 42]"
prestação_de_serviços_de_psicologia_e_psiquiatria_fisioterap_00_v0,False,"Qual é o valor cobrado pelos serviços de psicologia e psiquiatria, fisioterapia, serviços de nutrição e ortopedia, de acordo com o item 4 do Projeto Básico, subitens 4.7, 4.11, 4.48 e 4.50, e anexo I do Edital de Credenciamento nº 01/2018?","R$ 1,00",Informação não disponível no contexto.,1.00,,"[96, 55, 22]"
prestação_de_serviços_de_psicologia_e_psiquiatria_fisioterap_00_v1,False,"Quanto é o custo associado aos serviços de saúde mental e física, incluindo psicologia, psiquiatria, fisioterapia, nutrição e ortopedia, conforme especificado no Projeto Básico e no edital de credenciamento?","R$ 1,00",Informação não disponível no contexto.,1.00,,"[29, 55, 41]"
prestação_de_serviços_de_psicologia_e_psiquiatria_fisioterap_00_v2,False,"Qual o preço definido para os serviços integrados de saúde, englobando psicologia, psiquiatria, fisioterapia, nutrição e ortopedia, como mencionado nos subitens 4.7, 4.11, 4.48, 4.50 e no anexo I do edital?","R$ 1,00",Informação não disponível no contexto.,1.00,,"[29, 45, 55]"
a_operacionalização_das_rotinas_de_administração_dos_fluxos__00_v0,False,Qual é o montante financeiro referente à operacionalização das rotinas de administração dos fluxos financeiros gerados em função das transferências para a conta única do Tesouro do DISTRITO FEDERAL?,"R$ 1.800.000,00",Informação não disponível no contexto.,1800000.00,,"[67, 44, 20]"
a_operacionalização_das_rotinas_de_administração_dos_fluxos__00_v1,False,"Quanto é destinado ao controle e pagamento dos depósitos judiciais em dinheiro, nos termos da Lei Complementar nº 151, de 05 de agosto de 2015?","R$ 1.800.000,00",Informação não disponível no contexto.,1800000.00,,"[33, 32, 35]"
a_operacionalização_das_rotinas_de_administração_dos_fluxos__00_v2,False,"Qual o valor exato associado à gestão financeira de transferências para a conta única do Tesouro do DISTRITO FEDERAL, de acordo com a legislação vigente?","R$ 1.800.000,00","RS 513,554,60",1800000.00,,"[73, 14, 51]"
prestação_de_serviços_especializados_de_desenvolvimento_de_a_00_v0,False,Qual é o orçamento total para o desenvolvimento de aplicativos nativos e híbridos com suporte multiplataforma?,"R$ 16.632.000,00",Informação não disponível no contexto.,16632000.00,,"[47, 18, 25]"
prestação_de_serviços_especializados_de_desenvolvimento_de_a_00_v1,False,Quanto custa o serviço de desenvolvimento de aplicativos que suporta múltiplas plataformas?,"R$ 16.632.000,00",Informação não disponível no contexto.,16632000.00,,"[96, 42, 15]"
prestação_de_serviços_especializados_de_desenvolvimento_de_a_00_v2,False,Qual é o valor total para a prestação de serviços de desenvolvimento de aplicativos nativos e híbridos com suporte multiplataforma?,"R$ 16.632.000,00","R$ 513.554,60",16632000.00,513554.60,"[51, 96, 55]"
contratação_de_serviços_de_comunicação_de_dados_na_modalidad_00_v0,False,Qual é o custo total para a implementação de serviços de comunicação de dados em MPLS para conectar as agências e departamentos?,"R$ 1.797.362,40",Informação não disponível no contexto.,1797362.40,,"[96, 55, 42]"
contratação_de_serviços_de_comunicação_de_dados_na_modalidad_00_v1,False,Quanto será gasto com a contratação de serviços de comunicação de dados na modalidade MPLS para interligar todas as agências e departamentos?,"R$ 1.797.362,40",Informação não disponível no contexto.,1797362.40,,"[96, 95, 9]"
contratação_de_serviços_de_comunicação_de_dados_na_modalidad_00_v2,False,Qual o valor orçado para a interconexão de agências e departamentos através de serviços de comunicação de dados em MPLS?,"R$ 1.797.362,40",Informação não disponível no contexto.,1797362.40,,"[96, 42, 15]"
aquisição_de_computadores_e_monitores_00_v0,False,Qual é o custo total de aquisição dos novos computadores e monitores para a equipe?,"R$ 191.087,28",Informação não disponível no contexto.,191087.28,,"[16, 30, 34]"
aquisição_de_computadores_e_monitores_00_v1,False,Quanto foi gasto na compra de computadores e monitores para melhorar a infraestrutura de trabalho?,"R$ 191.087,28",Informação não disponível no contexto.,191087.28,,"[30, 101, 69]"
aquisição_de_computadores_e_monitores_00_v2,False,Qual é o valor total investido em computadores e monitores para atualizar os equipamentos da empresa?,"R$ 191.087,28",Informação não disponível no contexto.,191087.28,,"[51, 23, 59]"
o_presente_contrato_tem_por_objeto_a_prestação_de_serviços_a_00_v0,False,Qual é o valor total do contrato para a prestação de serviços de mão de obra de sentenciados?,"R$ 608.175,00","R$ 1.522,29",608175.00,1522.29,"[96, 73, 48]"
o_presente_contrato_tem_por_objeto_a_prestação_de_serviços_a_00_v1,False,Quanto custa o fornecimento de mão de obra de até 25 sentenciados presos e egressos neste contrato?,"R$ 608.175,00",Informação não disponível no contexto.,608175.00,,"[22, 69, 41]"
o_presente_contrato_tem_por_objeto_a_prestação_de_serviços_a_00_v2,False,Qual o valor orçado para a execução contínua dos serviços que envolvem a mão de obra de até 25 indivíduos em regime prisional?,"R$ 608.175,00",Informação não disponível no contexto.,608175.00,,"[73, 42, 15]"
prestação_de_serviços_de_radiologia_neurologia_e_clínica_méd_00_v0,False,"Qual é o valor cobrado pelos serviços de radiologia, neurologia e clínica médica conforme especificado no Projeto Básico, itens 4.19, 4.35 e 4.51?","R$ 1,00",Informação não disponível no contexto.,1.00,,"[55, 17, 22]"
prestação_de_serviços_de_radiologia_neurologia_e_clínica_méd_00_v1,False,"Quanto é cobrado pela prestação de serviços de radiologia, neurologia e clínica médica de acordo com o edital de credenciamento nº 01/2018, anexo I, subitens 4.19, 4.35 e 4.51?","R$ 1,00",Informação não disponível no contexto.,1.00,,"[22, 47, 48]"
prestação_de_serviços_de_radiologia_neurologia_e_clínica_méd_00_v2,False,"Qual o preço definido para os serviços de radiologia, neurologia e clínica médica, como mencionado nos subitens 4.19, 4.35 e 4.51 do anexo I do Edital de Credenciamento nº 01/2018, item 4 do Projeto Básico?","R$ 1,00",Informação não disponível no contexto.,1.00,,"[22, 76, 22]"
aquisição_computadores_00_v0,False,Qual é o custo total para adquirir novos computadores?,"R$ 71.414,00","R$ 1.490.000,00 não,  mil e quattrocentas e noventa e uma  não,  não tem valor exato,  Informação não disponível no contexto.",71414.00,1490000.00,"[7, 73, 52]"
